CountryID;iso3cd;Name;UN intermediate region;Continent
194;PRT;Portugal;18_Southern Europe;Europe
195;PRY;Paraguay;14_South America;South_America
196;PSE;State of Palestine;07_Western Asia;Asia
197;PYF;French Polynesia;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
198;QAT;Qatar;07_Western Asia;Asia
199;SMR;San Marino;18_Southern Europe;Europe
200;SGP;Singapore;09_South-eastern Asia;Asia
201;SGS;South Georgia and the South Sandwich Islands;14_South America;South_America
202;SHN;Saint Helena;04_Western Africa;Africa
203;SPM;Saint Pierre and Miquelon;11_Northern America;North_America
204;SRB;Serbia;18_Southern Europe;Europe
205;XKX;Kosovo (under UNSC res. 1244);18_Southern Europe;Europe
206;SSD;South Sudan;03_Eastern Africa;Africa
207;STP;Sao Tome and Principe;02_Middle Africa;Africa
208;SUR;Suriname;14_South America;South_America
209;SVK;Slovakia;16_Eastern Europe;Europe
210;SVN;Slovenia;18_Southern Europe;Europe
211;SWE;Sweden;15_Northern Europe;Europe
212;VGB;British Virgin Islands;13_Caribbean;North_America
213;VIR;United States Virgin Islands;13_Caribbean;North_America
214;VNM;Viet Nam;09_South-eastern Asia;Asia
215;SWZ;Eswatini;05_Southern Africa;Africa
216;SXM;Sint Maarten (Dutch part);13_Caribbean;North_America
217;SYC;Seychelles;03_Eastern Africa;Africa
218;SYR;Syrian Arab Republic;07_Western Asia;Asia
219;VUT;Vanuatu;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
220;WLF;Wallis and Futuna Islands;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
221;TCA;Turks and Caicos Islands;13_Caribbean;North_America
222;TCD;Chad;02_Middle Africa;Africa
223;TGO;Togo;04_Western Africa;Africa
224;THA;Thailand;09_South-eastern Asia;Asia
225;TJK;Tajikistan;08_Central Asia;Asia
226;TKL;Tokelau;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
227;TKM;Turkmenistan;08_Central Asia;Asia
228;TLS;Timor-Leste;09_South-eastern Asia;Asia
229;TON;Tonga;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
230;TTO;Trinidad and Tobago;13_Caribbean;North_America
231;TUN;Tunisia;01_Northern Africa;Africa
232;TUR;Türkiye;07_Western Asia;Asia
233;TUV;Tuvalu;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
234;TWN;China, Taiwan Province of China;06_Eastern Asia;Asia
235;TZA;United Republic of Tanzania;03_Eastern Africa;Africa
236;UGA;Uganda;03_Eastern Africa;Africa
237;UKR;Ukraine;16_Eastern Europe;Europe
238;xSR;Scarborough Reef;09_South-eastern Asia;Asia
239;UMI;United States Minor Outlying Islands;20_Melanesia-Micronesia-Polynesia;North_America
240;URY;Uruguay;14_South America;South_America
241;USA;United States of America;11_Northern America;North_America
242;UZB;Uzbekistan;08_Central Asia;Asia
243;VAT;Holy See;18_Southern Europe;Europe
244;VCT;Saint Vincent and the Grenadines;13_Caribbean;North_America
245;VEN;Venezuela (Bolivarian Republic of);14_South America;South_America
246;WSM;Samoa;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
247;xAB;Abyei;03_Eastern Africa;Africa
248;xAC;Aksai Chin;06_Eastern Asia;Asia
249;xAP;Arunachal Pradesh;10_Southern Asia;Asia
250;xJi;Jammu and Kashmir (India);10_Southern Asia;Asia
251;xJp;Azad Kashmir and Gilgit-Baltistan (Pakistan);10_Southern Asia;Asia
252;xJL;Jerusalem No man's land;07_Western Asia;Asia
253;xPI;Paracel Islands;09_South-eastern Asia;Asia
254;xRI;Kuril islands;06_Eastern Asia;Asia
255;xSI;Spratly Islands;09_South-eastern Asia;Asia
256;xSK;Senkaku Islands;06_Eastern Asia;Asia
257;xUK;Akrotiri and Dhekelia;07_Western Asia;Asia
258;YEM;Yemen;07_Western Asia;Asia
259;ZAF;South Africa;05_Southern Africa;Africa
260;ZMB;Zambia;03_Eastern Africa;Africa
261;ZWE;Zimbabwe;03_Eastern Africa;Africa
1012;AUS;Australia extended;19_Australia and New Zealand;Australia_Oceania
1046;CHL;Chile extended;14_South America;South_America
1059;COK;Cook Islands extended;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
1060;COL;Colombia extended;14_South America;South_America
1062;CPV;Cabo Verde extended;04_Western Africa;Africa
1067;GBR;United Kingdom extended;15_Northern Europe;Europe
1114;MEX;Mexico extended;12_Central America;North_America
1120;KIR;Kiribati extended;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
1136;JPN;Japan extended;06_Eastern Asia;Asia
1178;NZL;New Zealand extended;19_Australia and New Zealand;Australia_Oceania
1197;PYF;French Polynesia extended;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
1201;SGS;South Georgia and the South Sandwich Islands extended;14_South America;South_America
1218;VUT;Vanuatu extended;20_Melanesia-Micronesia-Polynesia;Australia_Oceania
;;;;
