ISO3;CountryFixedEffects;GDPCapita;Y2010UD
AFG;0.695092601;588.1911727;130.923
ALB;2.840527574;3930.539012;1753.88
DZA;1.679438488;4184.421904;3568.32
AGO;1.616576932;3488.953027;2340.39
ARG;1.345943085;13679.72467;4060.67
ARM;2.625646197;3497.215597;1360.13
AUS;0.585696101;56367.37637;1193.21
AUT;1.782313217;44801.11243;1292.33
AZE;1.847947125;5442.447852;1336.76
BGD;2.490887162;1211.811821;9057.98
BLR;2.075161985;5946.114958;1801.77
BEL;1.323574493;40935.66387;1103.15
BEN;2.216597156;1047.746012;1824.13
BOL;2.31890421;3084.591925;2102.68
BIH;2.617566642;4266.543389;878.502
BWA;2.263184955;5996.596938;437.286
BRA;0.165483322;8673.905299;3396.88
BGR;1.762045235;7101.056267;1067.1
BFA;1.91600465;654.8211207;1685.37
BDI;2.73742758;277.8924969;1479.73
KHM;3.261385689;1162.173836;2999.09
CMR;2.360679713;1378.827295;5709.89
CAN;0.630584226;43325.4138;1532.85
CAF;2.8465017;344.1994021;1846.63
TCD;2.89102893;777.4506368;2747.86
CHL;2.046552097;13514.15522;3746.86
CHN;-0.691706954;8040.672443;4747.03
COL;1.956355009;6091.385772;7845.69
CRI;2.599666088;11739.58265;1890.14
CIV;1.765415827;2018.71064;2800.32
HRV;2.158026729;11819.98593;914.381
CYP;3.027895756;17028.01413;875.387
CZE;1.475567126;17849.43143;1086.77
DNK;1.815066605;53386.01343;1074.55
DOM;2.5440903;6767.547763;3802.63
ECU;2.104112492;6150.334244;2755.29
EGY;1.41519622;3600.146216;6904.06
SLV;3.055836148;3826.301595;2648.13
ETH;1.618478339;650.2821037;1466.5
FIN;2.325013611;42866.14243;963.409
FRA;0.41404135;37905.91301;1787.71
GAB;3.1408591;8291.982909;1469.08
GMB;3.190663277;691.2971285;1845.97
GEO;2.514982091;3737.852204;1641.09
DEU;0.152418431;41660.38895;1725.68
GHA;1.084315894;1802.968607;1703.34
GRC;2.204475091;17862.15925;3011.62
GTM;1.970361481;3811.61923;1572.03
GIN;2.117312375;698.7178373;1724.58
HTI;2.452542081;1383.186571;2681.68
HND;2.495072708;2599.839371;1764.62
HKG;4.266340102;42228.31344;22424.9
HUN;1.401724486;12725.20843;1067.42
IND;0.291569501;1605.06933;10171.5
IDN;0.126664338;3344.162206;2920.59
IRN;1.065797445;5160.974031;3571.29
IRQ;2.157113318;4580.083148;5791.17
IRL;2.311052352;62042.66206;1242.06
ISR;2.71594591;37286.62432;4092.29
ITA;0.668224767;30706.63794;2419.78
JAM;2.872086354;5079.559219;1737.83
JPN;0.148115979;35122.79858;3169.22
JOR;3.072913036;5084.484586;4691.15
KAZ;1.431282989;10475.24654;1153.72
KEN;2.529820268;1525.563997;3278.35
KWT;3.481415169;29429.73203;5166.29
KGZ;2.313061277;1125.875968;1337.92
LVA;3.064510513;13831.26879;1155.73
LBN;3.165970163;8534.521055;3995.03
LBR;2.012948351;716.6374348;949.34
LBY;1.941668884;7759.127416;1203.88
LTU;2.627837466;14391.83541;992.491
MKD;2.966640234;4844.368869;1419.34
MWI;1.76309114;369.0209165;663.074
MYS;0.950481101;9934.293419;1657.11
MLI;2.298394775;744.2125504;2368.87
MRT;2.453654355;1517.982336;949.789
MEX;0.808115523;9234.065955;4448.94
MDA;1.823644019;1904.926809;624.397
MAR;1.54371094;2944.046371;3091.02
MOZ;1.66394435;571.6274914;1427.55
MMR;1.764612789;1170.712103;2247.81
NAM;0.742559926;4600.428404;49.9374
NPL;1.462813612;855.8277794;1103.8
NLD;1.401925203;45253.83901;2081.24
NZL;1.616493454;39323.97654;610.232
NIC;2.938879335;2101.747996;2198.68
NER;2.942465632;486.636309;3716.51
NGA;0.769736325;2672.614099;4567.7
NOR;1.791983138;74133.01424;487.189
PAK;1.492043186;1433.144221;6856.23
PAN;2.813701555;13781.43369;1352.21
PRY;2.432936529;5491.372412;1341.43
PER;1.374975382;6053.584555;1945.49
PHL;1.581630933;3050.550894;4637.33
POL;0.793055006;12382.13967;1334.04
PRT;1.643707487;19264.19656;1546.31
QAT;3.185407974;72900.16703;1850.5
COG;3.041325102;2566.599357;3498.25
ROU;1.277311575;9106.286295;1539.2
RUS;0.040427315;9507.50684;2165.24
RWA;2.668470248;731.8858824;1203.78
SAU;1.556944;20741.82445;2912.6
SEN;2.65348928;1175.222263;4869.17
SRB;1.970658179;4480.62591;1389.23
SLE;2.38510899;654.2006143;1639.27
SVK;1.787916985;16343.21364;864.378
SVN;2.505997293;21141.49388;659.493
ZAF;0.106169724;6358.100994;1139.11
KOR;2.007729501;29147.05324;9018.07
ESP;1.221561743;25932.28013;3280.99
LKA;1.785821263;3892.431424;1509.67
SDN;1.554743547;1619.186953;2270.29
SWE;1.631810197;51679.41826;967.941
CHE;1.949825206;84023.05484;1514.41
SYR;2.108094361;952.5234531;4058.24
TJK;2.136642557;975.0049273;679.292
TZA;1.517036463;886.4976139;1682.6
THA;1.21362453;5907.525536;2546.57
TGO;2.483704323;572.2079746;1979.62
TTO;2.960699983;18546.3825;723.036
TUN;1.944993771;4068.802246;2075.75
TUR;1.240505552;10988.20307;4944.1
UGA;1.83158448;829.8278155;1493.16
UKR;0.355640601;2034.370497;1323.23
ARE;2.513221788;39221.1452;1781.6
GBR;0.553714505;45706.97219;2638.91
USA;-1.314116366;56609.00078;1115.25
URY;2.855110402;15542.33441;2617.42
UZB;0.952789658;2882.056754;1063.83
VEN;1.613565513;15529.72012;3425.73
VNM;1.313769504;2562.063067;3231.86
YEM;1.803132842;1582.592417;1307.8
ZMB;1.534200039;1313.741681;1102.69
