ISO3;CountryFixedEffects;GDPCapita;Y2010UD
AFG;0.695092601;588.1911727;975.702
ALB;2.840527574;3930.539012;2195.44
DZA;1.679438488;4184.421904;5667.34
AGO;1.616576932;3488.953027;3189.05
ARG;1.345943085;13679.72467;5558.44
ARM;2.625646197;3497.215597;2003.87
AUS;0.585696101;56367.37637;1431.78
AUT;1.782313217;44801.11243;1777.24
AZE;1.847947125;5442.447852;1905.46
BGD;2.490887162;1211.811821;21740.2
BLR;2.075161985;5946.114958;2933.02
BEL;1.323574493;40935.66387;1689.14
BEN;2.216597156;1047.746012;2342.7
BOL;2.31890421;3084.591925;4006.84
BIH;2.617566642;4266.543389;1818.09
BWA;2.263184955;5996.596938;927.052
BRA;0.165483322;8673.905299;5466.55
BGR;1.762045235;7101.056267;1663.08
BFA;1.91600465;654.8211207;2109.24
BDI;2.73742758;277.8924969;1545.86
KHM;3.261385689;1162.173836;5539.71
CMR;2.360679713;1378.827295;7106.78
CAN;0.630584226;43325.4138;1991.54
CAF;2.8465017;344.1994021;2488.68
TCD;2.89102893;777.4506368;4865.1
CHL;2.046552097;13514.15522;5632.46
CHN;-0.691706954;8040.672443;7026.55
COL;1.956355009;6091.385772;10918.2
CRI;2.599666088;11739.58265;2695.56
CIV;1.765415827;2018.71064;3249.86
HRV;2.158026729;11819.98593;1392.42
CYP;3.027895756;17028.01413;1307.49
CZE;1.475567126;17849.43143;1639.68
DNK;1.815066605;53386.01343;1498.88
DOM;2.5440903;6767.547763;5166.47
ECU;2.104112492;6150.334244;4450.98
EGY;1.41519622;3600.146216;6703.19
SLV;3.055836148;3826.301595;5484.72
ETH;1.618478339;650.2821037;4514.5
FIN;2.325013611;42866.14243;2384.08
FRA;0.41404135;37905.91301;2480.21
GAB;3.1408591;8291.982909;2419.52
GMB;3.190663277;691.2971285;2180.75
GEO;2.514982091;3737.852204;2042.21
DEU;0.152418431;41660.38895;2254.18
GHA;1.084315894;1802.968607;1964.66
GRC;2.204475091;17862.15925;3503.63
GTM;1.970361481;3811.61923;3111.39
GIN;2.117312375;698.7178373;2101.33
HTI;2.452542081;1383.186571;4087.26
HND;2.495072708;2599.839371;3026.56
HKG;4.266340102;42228.31344;32368.1
HUN;1.401724486;12725.20843;1409.21
IND;0.291569501;1605.06933;14384.7
IDN;0.126664338;3344.162206;4061.28
IRN;1.065797445;5160.974031;5846.92
IRQ;2.157113318;4580.083148;8744.73
IRL;2.311052352;62042.66206;1753.64
ISR;2.71594591;37286.62432;5652.32
ITA;0.668224767;30706.63794;3000.83
JAM;2.872086354;5079.559219;1990.64
JPN;0.148115979;35122.79858;3201.75
JOR;3.072913036;5084.484586;6555.5
KAZ;1.431282989;10475.24654;2027.35
KEN;2.529820268;1525.563997;6852.23
KWT;3.481415169;29429.73203;6236.89
KGZ;2.313061277;1125.875968;1505.63
LVA;3.064510513;13831.26879;2305.68
LBN;3.165970163;8534.521055;5831.37
LBR;2.012948351;716.6374348;1087.82
LBY;1.941668884;7759.127416;1915.91
LTU;2.627837466;14391.83541;1985.19
MKD;2.966640234;4844.368869;1909.77
MWI;1.76309114;369.0209165;1176.25
MYS;0.950481101;9934.293419;2280.64
MLI;2.298394775;744.2125504;3595.03
MRT;2.453654355;1517.982336;1470.19
MEX;0.808115523;9234.065955;6520.53
MDA;1.823644019;1904.926809;745.421
MAR;1.54371094;2944.046371;4325.43
MOZ;1.66394435;571.6274914;2996.49
MMR;1.764612789;1170.712103;5079.54
NAM;0.742559926;4600.428404;156.045
NPL;1.462813612;855.8277794;1687.44
NLD;1.401925203;45253.83901;2482.74
NZL;1.616493454;39323.97654;1065.24
NIC;2.938879335;2101.747996;4493.85
NER;2.942465632;486.636309;4326.18
NGA;0.769736325;2672.614099;6350.04
NOR;1.791983138;74133.01424;1251.55
PAK;1.492043186;1433.144221;11323.7
PAN;2.813701555;13781.43369;2923.2
PRY;2.432936529;5491.372412;2917.53
PER;1.374975382;6053.584555;4137.36
PHL;1.581630933;3050.550894;8851.1
POL;0.793055006;12382.13967;2054.8
PRT;1.643707487;19264.19656;1799.18
QAT;3.185407974;72900.16703;3078.64
COG;3.041325102;2566.599357;4248.87
ROU;1.277311575;9106.286295;2045.38
RUS;0.040427315;9507.50684;3205.96
RWA;2.668470248;731.8858824;2365.77
SAU;1.556944;20741.82445;4742.16
SEN;2.65348928;1175.222263;5117.33
SRB;1.970658179;4480.62591;2219.98
SLE;2.38510899;654.2006143;1887.01
SVK;1.787916985;16343.21364;1110.24
SVN;2.505997293;21141.49388;952.635
ZAF;0.106169724;6358.100994;1385.27
KOR;2.007729501;29147.05324;11927.9
ESP;1.221561743;25932.28013;4537.28
LKA;1.785821263;3892.431424;1261.44
SDN;1.554743547;1619.186953;4825.49
SWE;1.631810197;51679.41826;1894.19
CHE;1.949825206;84023.05484;2151.96
SYR;2.108094361;952.5234531;4884.34
TJK;2.136642557;975.0049273;1214.28
TZA;1.517036463;886.4976139;3063.33
THA;1.21362453;5907.525536;3491.24
TGO;2.483704323;572.2079746;2414.97
TTO;2.960699983;18546.3825;439.123
TUN;1.944993771;4068.802246;2825.41
TUR;1.240505552;10988.20307;6768.09
UGA;1.83158448;829.8278155;2033.26
UKR;0.355640601;2034.370497;1679.64
ARE;2.513221788;39221.1452;4576.65
GBR;0.553714505;45706.97219;3075.52
USA;-1.314116366;56609.00078;1533.85
URY;2.855110402;15542.33441;3407.22
UZB;0.952789658;2882.056754;1350.94
VEN;1.613565513;15529.72012;5740.21
VNM;1.313769504;2562.063067;4600.32
YEM;1.803132842;1582.592417;3207.44
ZMB;1.534200039;1313.741681;1500.55
